Age,Gender,Location,Interests,Preferences,Income_per_Year,Education,Occupation
24,Non-Binary,New York,Travel,Luxury Hotels & Adventure Trips,186892,Master's,Entrepreneur
60,Male,Boston,Finance,Stock Market & Investments,161123,High School,Real Estate Agent
62,Male,Miami,Education,Online Courses & Books,143617,Bachelor's,Real Estate Agent
56,Female,San Francisco,Travel,Luxury Hotels & Adventure Trips,121339,Master's,Teacher
62,Male,Los Angeles,Health & Fitness,Organic Food & Gym Memberships,100587,Master's,Real Estate Agent
65,Female,New York,Gaming,PC & Console Gaming,32553,PhD,Real Estate Agent
22,Female,Boston,Finance,Stock Market & Investments,36056,PhD,Software Engineer
36,Male,Houston,Health & Fitness,Organic Food & Gym Memberships,85946,Master's,Banker
60,Male,Chicago,Travel,Luxury Hotels & Adventure Trips,68435,PhD,Software Engineer
26,Non-Binary,Houston,Music,Concerts & Streaming Services,135565,Master's,Doctor
60,Male,New York,Gaming,PC & Console Gaming,56211,High School,Consultant
50,Non-Binary,Chicago,Real Estate,Property Investment & Rentals,99768,Master's,Consultant
48,Non-Binary,Los Angeles,Real Estate,Property Investment & Rentals,68748,Master's,Real Estate Agent
25,Male,Miami,Real Estate,Property Investment & Rentals,129623,Bachelor's,Banker
65,Male,Los Angeles,Gaming,PC & Console Gaming,194909,PhD,Software Engineer
38,Non-Binary,Chicago,Finance,Stock Market & Investments,129216,Bachelor's,Real Estate Agent
23,Male,Chicago,Real Estate,Property Investment & Rentals,110702,PhD,Entrepreneur
22,Female,Boston,Finance,Stock Market & Investments,36056,PhD,Software Engineer
62,Non-Binary,New York,Travel,Luxury Hotels & Adventure Trips,154517,Master's,Consultant
50,Female,Seattle,Real Estate,Property Investment & Rentals,42021,High School,Real Estate Agent
56,Female,San Francisco,Travel,Luxury Hotels & Adventure Trips,121339,Master's,Teacher
30,Female,Chicago,Music,Concerts & Streaming Services,61888,Bachelor's,Real Estate Agent
48,Non-Binary,Los Angeles,Real Estate,Property Investment & Rentals,68748,Master's,Real Estate Agent
62,Female,Boston,Technology,Gadgets & AI,37536,Master's,Software Engineer
19,Male,Chicago,Gaming,PC & Console Gaming,109965,PhD,Teacher
20,Female,Los Angeles,Education,Online Courses & Books,62683,Master's,Teacher
60,Non-Binary,New York,Gaming,PC & Console Gaming,177617,Master's,Real Estate Agent
51,Non-Binary,Seattle,Finance,Stock Market & Investments,117346,High School,Teacher
19,Male,Chicago,Gaming,PC & Console Gaming,109965,PhD,Teacher
43,Male,Chicago,Education,Online Courses & Books,187392,High School,Teacher
55,Non-Binary,San Francisco,Education,Online Courses & Books,191014,High School,Consultant
44,Female,Miami,Travel,Luxury Hotels & Adventure Trips,94627,PhD,Teacher
58,Male,Boston,Technology,Gadgets & AI,40261,High School,Real Estate Agent
59,Non-Binary,Chicago,Health & Fitness,Organic Food & Gym Memberships,86186,PhD,Teacher
48,Non-Binary,Los Angeles,Real Estate,Property Investment & Rentals,68748,Master's,Real Estate Agent
30,Non-Binary,Houston,Education,Online Courses & Books,112526,Bachelor's,Doctor
64,Female,San Francisco,Finance,Stock Market & Investments,197894,High School,Entrepreneur
58,Female,New York,Finance,Stock Market & Investments,62173,Bachelor's,Teacher
29,Non-Binary,Houston,Real Estate,Property Investment & Rentals,68736,Master's,Designer
44,Female,Houston,Travel,Luxury Hotels & Adventure Trips,176154,Bachelor's,Doctor
32,Non-Binary,San Francisco,Technology,Gadgets & AI,157798,PhD,Designer
